1,G11_1,agC
2,C_2,F
3,C13_1,agF
4,A13_2,D
5,E9_1,agA
6,A9_2,agD
7,C13_2,F
8,A7_1,agD
9,C7_2,agF
10,G_1,agC
11,E11_2,A
12,C7_1,F
13,C_1,F
14,A_1,D
15,A11_2,agD
16,F7_2,Bb
17,C11_1,F
18,E9_2,agA
19,G7_2,C
20,A7_2,agD
21,G_2,agC
22,E7_2,A
23,F11_2,Bb
24,F11_1,agBb
25,G13_2,C
26,E_1,agA
27,F_2,Bb
28,C11_1,agF
29,G11_2,agC
30,A9_2,D
31,G9_2,agC
32,G11_1,C
33,F13_1,Bb
34,E7_1,A
35,A11_2,D
36,A11_1,agD
37,C13_1,F
38,E_2,agA
39,F9_1,Bb
40,E11_2,agA
41,C7_2,F
42,E13_2,agA
43,A7_2,D
44,E_1,A
45,G9_1,C
46,C11_2,agF
47,F13_2,agBb
48,F9_1,agBb
49,G13_1,agC
50,F9_2,Bb
51,C_2,agF
52,G13_2,agC
53,E_2,A
54,F7_1,Bb
55,G9_2,C
56,A13_1,agD
57,E13_1,A
58,G11_2,C
59,C9_2,agF
60,E13_1,agA
61,A7_1,D
62,C11_2,F
63,E7_2,agA
64,A9_1,D
65,E11_1,agA
66,G7_1,agC
67,G_1,C
68,E7_1,agA
69,G7_2,agC
70,A13_1,D
71,F13_1,agBb
72,A9_1,agD
73,A13_2,agD
74,E9_2,A
75,F13_2,Bb
76,G7_1,C
77,F_1,agBb
78,F11_1,Bb
79,C9_2,F
80,F7_2,agBb
81,F9_2,agBb
82,E13_2,A
83,F_1,Bb
84,C9_1,agF
85,G_2,C
86,E11_1,A
87,E9_1,A
88,A_2,agD
89,C9_1,F
90,G9_1,agC
91,F11_2,agBb
92,A_1,agD
93,G13_1,C
94,C7_1,agF
95,F_2,agBb
96,A11_1,D
97,C_1,agF
98,F7_1,agBb
99,A_2,D
100,C13_2,agF
